Reading timing models for corner nom_fast_1p32V_m40C…
Reading timing library for the 'nom_fast_1p32V_m40C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_stdcell/lib/sg13g2_stdcell_fast_1p32V_m40C.lib'…
Reading timing library for the 'nom_fast_1p32V_m40C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_io/lib/sg13g2_io_fast_1p32V_3p6V_m40C.lib'…
Reading timing models for corner nom_slow_1p08V_125C…
Reading timing library for the 'nom_slow_1p08V_125C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_stdcell/lib/sg13g2_stdcell_slow_1p08V_125C.lib'…
Reading timing library for the 'nom_slow_1p08V_125C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_io/lib/sg13g2_io_slow_1p08V_3p0V_125C.lib'…
Reading timing models for corner nom_typ_1p20V_25C…
Reading timing library for the 'nom_typ_1p20V_25C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_stdcell/lib/sg13g2_stdcell_typ_1p20V_25C.lib'…
Reading timing library for the 'nom_typ_1p20V_25C' corner at '/home/user/your_directory/IHP-Open-PDK/ciel/ihp-sg13g2/versions/c4b8b4e5e7a05f375cca3815d51b3a37721fbf5c/ihp-sg13g2/libs.ref/sg13g2_io/lib/sg13g2_io_typ_1p2V_3p3V_25C.lib'…
Reading OpenROAD database at '/home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/28-openroad-globalplacement/CPU_TOP.odb'…
Reading design constraints file at '/nix/store/4ih3gsigr3b9bd23wa17npi2ivyrcbnd-python3-3.13.9-env/lib/python3.13/site-packages/librelane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 2
[INFO] Setting input delay to: 2
[INFO] Setting load to: 0.006
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.15
[INFO] Setting timing derate to: 5%
[INFO RSZ-0027] Inserted 97 sg13g2_buf_1 input buffers.
[INFO RSZ-0028] Inserted 132 sg13g2_buf_1 output buffers.
+ repair_design -verbose -max_wire_length 0 -slew_margin 20 -cap_margin 20
Iteration |   Area    | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------------------
        0 |     +0.0% |       0 |       0 |             0 |      3264
       10 |     +0.0% |       0 |       0 |             0 |      3254
       20 |     +0.0% |       0 |       0 |             0 |      3244
       30 |     +0.0% |       0 |       0 |             0 |      3234
       40 |     +0.0% |       0 |       0 |             0 |      3224
       50 |     +0.0% |       0 |       0 |             0 |      3214
       60 |     +0.0% |       0 |       0 |             0 |      3204
       70 |     +0.0% |       0 |       0 |             0 |      3194
       80 |     +0.0% |       0 |       0 |             0 |      3184
       90 |     +0.0% |       0 |       0 |             0 |      3174
      100 |     +0.0% |       0 |       0 |             0 |      3164
      110 |     +0.0% |       0 |       0 |             0 |      3154
      120 |     +0.0% |       0 |       0 |             0 |      3144
      130 |     +0.0% |       0 |       0 |             0 |      3134
      140 |     +0.0% |       0 |       0 |             0 |      3124
      150 |     +0.0% |       0 |       0 |             0 |      3114
      160 |     +0.0% |       0 |       0 |             0 |      3104
      170 |     +0.0% |       0 |       0 |             0 |      3094
      180 |     +0.0% |       0 |       0 |             0 |      3084
      190 |     +0.0% |       0 |       0 |             0 |      3074
      200 |     +0.0% |       0 |       0 |             0 |      3064
      210 |     +0.0% |       0 |       0 |             0 |      3054
      220 |     +0.0% |       0 |       0 |             0 |      3044
      230 |     +0.0% |       0 |       0 |             0 |      3034
      240 |     +0.0% |       0 |       0 |             0 |      3024
      250 |     +0.0% |       0 |       0 |             0 |      3014
      260 |     +0.0% |       0 |       0 |             0 |      3004
      270 |     +0.0% |       0 |       0 |             0 |      2994
      280 |     +0.0% |       0 |       0 |             0 |      2984
      290 |     +0.0% |       0 |       0 |             0 |      2974
      300 |     +0.0% |       0 |       0 |             0 |      2964
      310 |     +0.0% |       0 |       0 |             0 |      2954
      320 |     +0.0% |       0 |       0 |             0 |      2944
      330 |     +0.0% |       0 |       0 |             0 |      2934
      340 |     +0.0% |       0 |       0 |             0 |      2924
      350 |     +0.0% |       0 |       0 |             0 |      2914
      360 |     +0.0% |       0 |       0 |             0 |      2904
      370 |     +0.0% |       0 |       0 |             0 |      2894
      380 |     +0.0% |       0 |       0 |             0 |      2884
      390 |     +0.0% |       0 |       0 |             0 |      2874
      400 |     +0.0% |       0 |       0 |             0 |      2864
      410 |     +0.0% |       0 |       0 |             0 |      2854
      420 |     +0.0% |       0 |       0 |             0 |      2844
      430 |     +0.0% |       0 |       0 |             0 |      2834
      440 |     +0.0% |       0 |       0 |             0 |      2824
      450 |     +0.0% |       0 |       0 |             0 |      2814
      460 |     +0.0% |       0 |       0 |             0 |      2804
      470 |     +0.0% |       0 |       0 |             0 |      2794
      480 |     +0.0% |       0 |       0 |             0 |      2784
      490 |     +0.0% |       0 |       0 |             0 |      2774
      500 |     +0.0% |       0 |       0 |             0 |      2764
