net,length_um
net545,572.11µm
net409,443.13µm
net405,437.025µm
net478,434.09µm
net493,419.065µm
net450,416.51µm
net471,411.14µm
clknet_0_clk,408.75µm
net453,403.805µm
clknet_2_1__leaf_clk,400.405µm
net464,399.465µm
net469,397.775µm
net519,391.89µm
net407,385.295µm
net265,380.695µm
net448,379.11µm
net514,379.05µm
net470,377.48µm
net520,375.975µm
net511,373.74µm
net272,369.11µm
net481,368.62µm
net473,366.585µm
net136,366.37µm
net611,365.195µm
clknet_2_3__leaf_clk,364.06µm
net455,361.515µm
net476,360.27µm
net416,359.72µm
net475,357.955µm
net500,355.36µm
net447,354.2µm
net589,346.945µm
net579,345.11µm
net442,335.085µm
net414,331.12µm
net591,330.305µm
net284,330.12µm
net482,325.765µm
net543,325.66µm
net433,325.145µm
net516,324.62µm
net97,322.545µm
clknet_2_0__leaf_clk,320.99µm
clk,320.7µm
net268,320.03µm
net580,319.96µm
net350,316.005µm
net45,312.97µm
net474,310.08µm
net513,307.615µm
net241,307.05µm
net460,306.275µm
net480,306.15µm
net427,305.555µm
net468,305.505µm
net472,304.18µm
net577,301.435µm
net462,301.32µm
net231,301.3µm
net466,300.91µm
_0840_,300.155µm
_0992_,299.185µm
net465,298.48µm
net137,298.105µm
net130,297.33µm
net249,297.215µm
net444,297.13µm
net267,297.035µm
net569,297.025µm
net299,296.09µm
net432,293.47µm
net583,293.21µm
net269,292.68µm
net441,292.6µm
net504,292.375µm
net258,292.025µm
net422,291.53µm
net230,290.68µm
net236,289.73µm
net266,289.595µm
net503,288.455µm
net160,288.365µm
net435,288.17µm
net247,288.165µm
net609,287.63µm
_0629_,286.015µm
net439,286.01µm
net499,285.755µm
clknet_2_2__leaf_clk,284.955µm
net456,284.82µm
net457,284.665µm
net490,283.755µm
net244,283.23µm
net454,283.095µm
net486,283.07µm
net489,282.57µm
_0613_,282.39µm
net262,280.885µm
net239,280.515µm
net443,280.445µm
net484,280.315µm
net449,279.965µm
net390,279.83µm
_1232_,279.24µm
net477,279.055µm
net329,278.47µm
net461,278.355µm
net253,277.79µm
net485,277.265µm
net598,276.47µm
net446,274.49µm
net281,274.25µm
net277,273.89µm
_2513_,273.595µm
net246,271.685µm
net264,271.11µm
net501,270.73µm
net458,269.025µm
net365,268.975µm
net463,268.23µm
_2152_,268.09µm
net491,267.705µm
net565,267.05µm
net451,266.43µm
net243,266.18µm
net429,265.805µm
net607,264.54µm
net147,262.93µm
net48,262.925µm
net245,260.475µm
net261,260.465µm
_0949_,260.285µm
net263,259.115µm
_0554_,258.77µm
net286,257.8µm
net287,255.935µm
net278,254.825µm
net240,254.16µm
net275,253.725µm
net452,253.725µm
net487,252.345µm
net434,251.655µm
net234,251.32µm
net502,250.79µm
net248,250.195µm
_1523_,250.19µm
net515,250.13µm
net366,249.75µm
net508,248.225µm
_0969_,247.27µm
net280,246.975µm
net251,246.54µm
net270,246.015µm
_0609_,245.14µm
net438,244.65µm
net38,242.77µm
net250,242.595µm
net237,242.56µm
net235,241.3µm
net510,241.17µm
net238,240.855µm
