Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_81_632,VSS,Metal1,310.0680,324.7030,0.000579
FILLER_81_625,VSS,Metal1,307.4460,324.6190,0.000569
FILLER_81_618,VSS,Metal1,304.0860,324.6190,0.000560
FILLER_81_611,VSS,Metal1,300.7260,324.6190,0.000550
FILLER_81_604,VSS,Metal1,297.3660,324.6190,0.000540
FILLER_81_597,VSS,Metal1,294.0060,324.6190,0.000530
FILLER_81_590,VSS,Metal1,290.6460,324.6190,0.000521
FILLER_81_583,VSS,Metal1,287.2860,324.6190,0.000511
FILLER_81_576,VSS,Metal1,283.9260,324.6190,0.000501
FILLER_81_569,VSS,Metal1,280.5660,324.6190,0.000491
FILLER_81_562,VSS,Metal1,277.2060,324.6190,0.000481
FILLER_81_543,VSS,Metal1,266.8800,325.0800,0.000349
FILLER_81_529,VSS,Metal1,259.9200,325.0800,0.000303
FILLER_81_527,VSS,Metal1,259.2000,325.0800,0.000205
FILLER_81_441,VSS,Metal1,217.6800,325.0800,0.000433
FILLER_81_373,VSS,Metal1,185.0400,325.0800,0.000147
FILLER_81_371,VSS,Metal1,184.3200,325.0800,0.000147
FILLER_81_337,VSS,Metal1,168.0000,325.0800,0.000189
FILLER_81_300,VSS,Metal1,150.0000,325.0800,0.000395
FILLER_81_295,VSS,Metal1,147.6000,325.0800,0.000408
FILLER_81_246,VSS,Metal1,124.0800,325.0800,0.000257
FILLER_81_244,VSS,Metal1,123.3600,325.0800,0.000257
FILLER_81_226,VSS,Metal1,114.4800,325.0800,0.000104
FILLER_81_224,VSS,Metal1,113.7600,325.0800,0.000104
FILLER_81_217,VSS,Metal1,111.6060,324.6190,0.000092
FILLER_81_210,VSS,Metal1,108.2460,324.6190,0.000070
FILLER_81_203,VSS,Metal1,104.8860,324.6190,0.000049
FILLER_81_190,VSS,Metal1,97.2000,325.0800,0.000023
FILLER_81_188,VSS,Metal1,96.4800,325.0800,0.000023
FILLER_81_181,VSS,Metal1,94.3260,324.6190,0.000023
FILLER_81_174,VSS,Metal1,90.9660,324.6190,0.000024
FILLER_81_167,VSS,Metal1,87.6060,324.6190,0.000025
FILLER_81_160,VSS,Metal1,84.2460,324.6190,0.000026
FILLER_81_153,VSS,Metal1,80.8860,324.6190,0.000026
FILLER_81_149,VSS,Metal1,77.5200,325.0800,0.000029
FILLER_81_147,VSS,Metal1,76.8000,325.0800,0.000029
FILLER_81_143,VSS,Metal1,74.6400,325.0800,0.000030
FILLER_81_139,VSS,Metal1,73.4280,324.7030,0.000030
FILLER_81_129,VSS,Metal1,68.1600,325.0800,0.000025
FILLER_81_122,VSS,Metal1,66.0060,324.6190,0.000024
FILLER_81_115,VSS,Metal1,62.6460,324.6190,0.000022
FILLER_81_108,VSS,Metal1,59.2860,324.6190,0.000020
FILLER_81_101,VSS,Metal1,55.9260,324.6190,0.000018
FILLER_81_94,VSS,Metal1,52.5660,324.6190,0.000017
FILLER_81_87,VSS,Metal1,49.2060,324.6190,0.000015
FILLER_81_80,VSS,Metal1,45.8460,324.6190,0.000013
FILLER_81_73,VSS,Metal1,42.4860,324.6190,0.000011
FILLER_81_66,VSS,Metal1,39.1260,324.6190,0.000009
FILLER_81_59,VSS,Metal1,35.7660,324.6190,0.000007
FILLER_81_52,VSS,Metal1,32.4060,324.6190,0.000006
FILLER_81_45,VSS,Metal1,29.0460,324.6190,0.000004
FILLER_81_38,VSS,Metal1,25.6860,324.6190,0.000002
FILLER_81_31,VSS,Metal1,22.3260,324.6190,0.000003
FILLER_81_25,VSS,Metal1,18.2400,325.0800,0.000004
FILLER_81_21,VSS,Metal1,16.7880,324.7030,0.000004
FILLER_81_14,VSS,Metal1,14.1660,324.6190,0.000004
FILLER_81_7,VSS,Metal1,10.8060,324.6190,0.000004
FILLER_81_0,VSS,Metal1,7.4460,324.6190,0.000004
FILLER_80_591,VSS,Metal1,290.3880,317.8960,0.000395
FILLER_80_584,VSS,Metal1,287.7660,317.9800,0.000395
FILLER_80_577,VSS,Metal1,284.4060,317.9800,0.000395
FILLER_80_570,VSS,Metal1,281.0460,317.9800,0.000395
FILLER_80_563,VSS,Metal1,277.6860,317.9800,0.000297
FILLER_80_556,VSS,Metal1,274.3260,317.9800,0.000294
FILLER_80_543,VSS,Metal1,266.6400,317.5200,0.000257
FILLER_80_507,VSS,Metal1,249.6000,317.5200,0.000152
FILLER_80_502,VSS,Metal1,246.9600,317.5200,0.000344
FILLER_80_493,VSS,Metal1,242.6400,317.5200,0.000436
FILLER_80_476,VSS,Metal1,234.7200,317.5200,0.000441
FILLER_80_451,VSS,Metal1,222.7200,317.5200,0.000506
FILLER_80_423,VSS,Metal1,209.0400,317.5200,0.000512
FILLER_80_408,VSS,Metal1,201.8400,317.5200,0.000497
FILLER_80_355,VSS,Metal1,176.4000,317.5200,0.000081
FILLER_80_309,VSS,Metal1,154.5600,317.5200,0.000404
FILLER_80_294,VSS,Metal1,147.3600,317.5200,0.000544
FILLER_80_279,VSS,Metal1,140.1600,317.5200,0.000554
FILLER_80_217,VSS,Metal1,110.4000,317.5200,0.000232
FILLER_80_181,VSS,Metal1,92.8800,317.5200,0.000263
FILLER_80_174,VSS,Metal1,90.9660,317.9800,0.000267
FILLER_80_145,VSS,Metal1,75.8400,317.5200,0.000384
FILLER_80_135,VSS,Metal1,70.8000,317.5200,0.000391
FILLER_80_123,VSS,Metal1,65.2800,317.5200,0.000391
FILLER_80_112,VSS,Metal1,60.0000,317.5200,0.000358
FILLER_80_105,VSS,Metal1,57.8460,317.9800,0.000250
FILLER_80_101,VSS,Metal1,54.4800,317.5200,0.000250
FILLER_80_97,VSS,Metal1,53.2680,317.8960,0.000250
FILLER_80_86,VSS,Metal1,47.5200,317.5200,0.000236
FILLER_80_82,VSS,Metal1,46.0680,317.8960,0.000236
FILLER_80_68,VSS,Metal1,39.3480,317.8960,0.000188
FILLER_80_61,VSS,Metal1,36.7260,317.9800,0.000105
FILLER_80_54,VSS,Metal1,33.3660,317.9800,0.000105
FILLER_80_47,VSS,Metal1,30.0060,317.9800,0.000084
FILLER_80_40,VSS,Metal1,26.6460,317.9800,0.000050
FILLER_80_33,VSS,Metal1,23.2860,317.9800,0.000084
FILLER_80_18,VSS,Metal1,16.0860,317.9800,0.000085
FILLER_80_11,VSS,Metal1,12.7260,317.9800,0.000091
FILLER_80_4,VSS,Metal1,9.3660,317.9800,0.000091
FILLER_79_641,VSS,Metal1,313.9200,317.5200,0.000483
FILLER_79_634,VSS,Metal1,311.7660,317.0590,0.000483
FILLER_79_621,VSS,Metal1,304.0800,317.5200,0.000461
FILLER_79_619,VSS,Metal1,303.3600,317.5200,0.000461
FILLER_79_612,VSS,Metal1,301.2060,317.0590,0.000461
FILLER_79_605,VSS,Metal1,297.8460,317.0590,0.000461
FILLER_79_598,VSS,Metal1,294.4860,317.0590,0.000457
FILLER_79_567,VSS,Metal1,278.1600,317.5200,0.000297
FILLER_79_560,VSS,Metal1,276.2460,317.0590,0.000294
FILLER_79_532,VSS,Metal1,261.3600,317.5200,0.000237
FILLER_79_523,VSS,Metal1,257.0400,317.5200,0.000237
FILLER_79_515,VSS,Metal1,253.2000,317.5200,0.000236
FILLER_79_513,VSS,Metal1,252.4800,317.5200,0.000120
FILLER_79_506,VSS,Metal1,250.3260,317.0590,0.000152
FILLER_79_499,VSS,Metal1,246.9660,317.0590,0.000344
FILLER_79_463,VSS,Metal1,228.2400,317.5200,0.000485
FILLER_79_456,VSS,Metal1,226.3260,317.0590,0.000502
FILLER_79_449,VSS,Metal1,222.9660,317.0590,0.000506
FILLER_79_431,VSS,Metal1,212.8800,317.5200,0.000514
FILLER_79_423,VSS,Metal1,209.0400,317.5200,0.000512
FILLER_79_421,VSS,Metal1,208.3200,317.5200,0.000512
FILLER_79_412,VSS,Metal1,203.7600,317.5200,0.000511
FILLER_79_372,VSS,Metal1,184.8000,317.5200,0.000188
FILLER_79_361,VSS,Metal1,179.5200,317.5200,0.000188
FILLER_79_346,VSS,Metal1,172.3200,317.5200,0.000107
FILLER_79_342,VSS,Metal1,170.8680,317.1430,0.000107
FILLER_79_325,VSS,Metal1,162.0000,317.5200,0.000172
FILLER_79_316,VSS,Metal1,157.6800,317.5200,0.000390
FILLER_79_290,VSS,Metal1,145.4400,317.5200,0.000544
FILLER_79_258,VSS,Metal1,129.8400,317.5200,0.000555
FILLER_79_248,VSS,Metal1,125.2800,317.5200,0.000397
FILLER_79_237,VSS,Metal1,120.0000,317.5200,0.000392
FILLER_79_215,VSS,Metal1,109.4400,317.5200,0.000232
FILLER_79_211,VSS,Metal1,107.9880,317.1430,0.000121
FILLER_79_172,VSS,Metal1,88.8000,317.5200,0.000340
FILLER_79_143,VSS,Metal1,74.8800,317.5200,0.000384
FILLER_79_112,VSS,Metal1,59.7600,317.5200,0.000358
FILLER_79_108,VSS,Metal1,58.5480,317.1430,0.000250
FILLER_79_63,VSS,Metal1,36.4800,317.5200,0.000105
FILLER_79_59,VSS,Metal1,35.0280,317.1430,0.000105
FILLER_79_18,VSS,Metal1,14.8800,317.5200,0.000085
FILLER_79_14,VSS,Metal1,13.4280,317.1430,0.000091
FILLER_79_7,VSS,Metal1,10.8060,317.0590,0.000091
FILLER_79_0,VSS,Metal1,7.4460,317.0590,0.000091
FILLER_78_650,VSS,Metal1,318.2400,309.9600,0.001651
FILLER_78_646,VSS,Metal1,316.7880,310.3360,0.001651
FILLER_78_614,VSS,Metal1,300.9600,309.9600,0.001178
FILLER_78_607,VSS,Metal1,298.8060,310.4200,0.001178
FILLER_78_600,VSS,Metal1,295.4460,310.4200,0.001175
FILLER_78_593,VSS,Metal1,290.8800,309.9600,0.001166
FILLER_78_580,VSS,Metal1,285.1080,310.3360,0.001119
FILLER_78_573,VSS,Metal1,282.4860,310.4200,0.001031
FILLER_78_544,VSS,Metal1,267.3600,309.9600,0.000832
FILLER_78_540,VSS,Metal1,265.9080,310.3360,0.000464
FILLER_78_536,VSS,Metal1,263.2800,309.9600,0.000413
FILLER_78_526,VSS,Metal1,258.4800,309.9600,0.000413
FILLER_78_524,VSS,Metal1,257.7600,309.9600,0.000413
FILLER_78_500,VSS,Metal1,247.4460,310.4200,0.000101
FILLER_78_493,VSS,Metal1,244.0860,310.4200,0.000101
FILLER_78_469,VSS,Metal1,231.3600,309.9600,0.000415
FILLER_78_465,VSS,Metal1,229.9080,310.3360,0.000415
FILLER_78_458,VSS,Metal1,227.2860,310.4200,0.000446
FILLER_78_451,VSS,Metal1,223.9260,310.4200,0.000478
FILLER_78_444,VSS,Metal1,219.1200,309.9600,0.000501
FILLER_78_440,VSS,Metal1,217.9080,310.3360,0.000501
FILLER_78_433,VSS,Metal1,215.2860,310.4200,0.000506
FILLER_78_415,VSS,Metal1,205.9080,310.3360,0.000498
FILLER_78_348,VSS,Metal1,173.0400,309.9600,0.000144
FILLER_78_346,VSS,Metal1,172.3200,309.9600,0.000144
FILLER_78_334,VSS,Metal1,167.0280,310.3360,0.000183
FILLER_78_323,VSS,Metal1,161.2800,309.9600,0.000203
FILLER_78_319,VSS,Metal1,159.8280,310.3360,0.000203
FILLER_78_312,VSS,Metal1,157.2060,310.4200,0.000212
FILLER_78_281,VSS,Metal1,140.8800,309.9600,0.000220
FILLER_78_277,VSS,Metal1,139.6680,310.3360,0.000220
FILLER_78_270,VSS,Metal1,137.0460,310.4200,0.000213
FILLER_78_249,VSS,Metal1,125.5200,309.9600,0.000196
FILLER_78_247,VSS,Metal1,124.8000,309.9600,0.000195
FILLER_78_215,VSS,Metal1,109.4400,309.9600,0.000132
FILLER_78_204,VSS,Metal1,104.1600,309.9600,0.000114
FILLER_78_200,VSS,Metal1,102.7080,310.3360,0.000112
FILLER_78_189,VSS,Metal1,96.7200,309.9600,0.000114
FILLER_78_185,VSS,Metal1,94.8000,309.9600,0.000182
FILLER_78_178,VSS,Metal1,92.8860,310.4200,0.000220
FILLER_78_171,VSS,Metal1,89.5260,310.4200,0.000220
FILLER_78_161,VSS,Metal1,83.2800,309.9600,0.000273
FILLER_78_154,VSS,Metal1,81.3660,310.4200,0.000306
FILLER_78_140,VSS,Metal1,73.9080,310.3360,0.000390
FILLER_78_133,VSS,Metal1,71.2860,310.4200,0.000393
FILLER_78_126,VSS,Metal1,67.9260,310.4200,0.000396
FILLER_78_98,VSS,Metal1,53.0400,309.9600,0.000431
FILLER_78_96,VSS,Metal1,52.3200,309.9600,0.000431
FILLER_78_68,VSS,Metal1,38.6400,309.9600,0.000356
FILLER_78_66,VSS,Metal1,37.9200,309.9600,0.000356
FILLER_78_59,VSS,Metal1,35.7660,310.4200,0.000277
FILLER_78_52,VSS,Metal1,32.4060,310.4200,0.000197
FILLER_78_45,VSS,Metal1,29.0460,310.4200,0.000116
FILLER_78_38,VSS,Metal1,25.6860,310.4200,0.000036
FILLER_78_33,VSS,Metal1,21.8400,309.9600,0.000171
FILLER_78_31,VSS,Metal1,21.1200,309.9600,0.000173
FILLER_78_25,VSS,Metal1,18.0000,309.9600,0.000173
FILLER_78_18,VSS,Metal1,16.0860,310.4200,0.000173
FILLER_78_7,VSS,Metal1,10.8060,310.4200,0.000173
FILLER_78_0,VSS,Metal1,7.4460,310.4200,0.000173
FILLER_77_651,VSS,Metal1,318.4800,309.9600,0.001651
FILLER_77_647,VSS,Metal1,317.2680,309.5830,0.001651
FILLER_77_640,VSS,Metal1,314.6460,309.4990,0.001651
FILLER_77_631,VSS,Metal1,309.5880,309.5830,0.001649
FILLER_77_624,VSS,Metal1,306.9660,309.4990,0.001647
FILLER_77_618,VSS,Metal1,302.6400,309.9600,0.001179
FILLER_77_593,VSS,Metal1,291.3480,309.5830,0.001166
FILLER_77_586,VSS,Metal1,288.7260,309.4990,0.001143
FILLER_77_579,VSS,Metal1,285.3660,309.4990,0.001119
FILLER_77_572,VSS,Metal1,282.0060,309.4990,0.001029
FILLER_77_562,VSS,Metal1,275.7600,309.9600,0.000840
FILLER_77_558,VSS,Metal1,274.5480,309.5830,0.000840
FILLER_77_551,VSS,Metal1,271.9260,309.4990,0.000840
FILLER_77_544,VSS,Metal1,268.5660,309.4990,0.000832
FILLER_77_537,VSS,Metal1,265.2060,309.4990,0.000462
FILLER_77_530,VSS,Metal1,261.8460,309.4990,0.000413
