Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_81_632,VDD,Metal1,310.0910,321.8960,1.191434
FILLER_81_625,VDD,Metal1,307.4490,321.8980,1.191434
FILLER_81_618,VDD,Metal1,304.0890,321.8980,1.191797
FILLER_81_611,VDD,Metal1,300.7290,321.8980,1.191801
FILLER_81_604,VDD,Metal1,297.3690,321.8980,1.191801
FILLER_81_597,VDD,Metal1,294.0090,321.8980,1.191807
FILLER_81_590,VDD,Metal1,290.6490,321.8980,1.191910
FILLER_81_583,VDD,Metal1,287.2890,321.8980,1.191923
FILLER_81_576,VDD,Metal1,283.9290,321.8980,1.191937
FILLER_81_569,VDD,Metal1,280.5690,321.8980,1.191950
FILLER_81_562,VDD,Metal1,277.2090,321.8980,1.191964
FILLER_81_543,VDD,Metal1,266.8800,321.3000,1.197750
FILLER_81_529,VDD,Metal1,259.9200,321.3000,1.198310
FILLER_81_527,VDD,Metal1,259.2000,321.3000,1.198310
FILLER_81_441,VDD,Metal1,217.6800,321.3000,1.199228
FILLER_81_373,VDD,Metal1,185.0400,321.3000,1.199596
FILLER_81_371,VDD,Metal1,184.3200,321.3000,1.199596
FILLER_81_337,VDD,Metal1,168.0000,321.3000,1.199926
FILLER_81_300,VDD,Metal1,150.0000,321.3000,1.199595
FILLER_81_295,VDD,Metal1,147.6000,321.3000,1.199585
FILLER_81_246,VDD,Metal1,124.0800,321.3000,1.199673
FILLER_81_244,VDD,Metal1,123.3600,321.3000,1.199673
FILLER_81_226,VDD,Metal1,114.4800,321.3000,1.199682
FILLER_81_224,VDD,Metal1,113.7600,321.3000,1.199682
FILLER_81_217,VDD,Metal1,111.6090,321.8980,1.199683
FILLER_81_210,VDD,Metal1,108.2490,321.8980,1.199715
FILLER_81_203,VDD,Metal1,104.8890,321.8980,1.199725
FILLER_81_190,VDD,Metal1,97.2000,321.3000,1.199725
FILLER_81_188,VDD,Metal1,96.4800,321.3000,1.199833
FILLER_81_181,VDD,Metal1,94.3290,321.8980,1.199861
FILLER_81_174,VDD,Metal1,90.9690,321.8980,1.199848
FILLER_81_167,VDD,Metal1,87.6090,321.8980,1.199834
FILLER_81_160,VDD,Metal1,84.2490,321.8980,1.199829
FILLER_81_153,VDD,Metal1,80.8890,321.8980,1.199829
FILLER_81_149,VDD,Metal1,77.5200,321.3000,1.199829
FILLER_81_147,VDD,Metal1,76.8000,321.3000,1.199829
FILLER_81_143,VDD,Metal1,74.6400,321.3000,1.199811
FILLER_81_139,VDD,Metal1,73.4510,321.8960,1.199810
FILLER_81_129,VDD,Metal1,68.1600,321.3000,1.199795
FILLER_81_122,VDD,Metal1,66.0090,321.8980,1.199795
FILLER_81_115,VDD,Metal1,62.6490,321.8980,1.199797
FILLER_81_108,VDD,Metal1,59.2890,321.8980,1.199800
FILLER_81_101,VDD,Metal1,55.9290,321.8980,1.199810
FILLER_81_94,VDD,Metal1,52.5690,321.8980,1.199895
FILLER_81_87,VDD,Metal1,49.2090,321.8980,1.199897
FILLER_81_80,VDD,Metal1,45.8490,321.8980,1.199903
FILLER_81_73,VDD,Metal1,42.4890,321.8980,1.199921
FILLER_81_66,VDD,Metal1,39.1290,321.8980,1.199928
FILLER_81_59,VDD,Metal1,35.7690,321.8980,1.199934
FILLER_81_52,VDD,Metal1,32.4090,321.8980,1.199940
FILLER_81_45,VDD,Metal1,29.0490,321.8980,1.199947
FILLER_81_38,VDD,Metal1,25.6890,321.8980,1.199953
FILLER_81_31,VDD,Metal1,22.3290,321.8980,1.199959
FILLER_81_25,VDD,Metal1,18.2400,321.3000,1.199988
FILLER_81_21,VDD,Metal1,16.8110,321.8960,1.199977
FILLER_81_14,VDD,Metal1,14.1690,321.8980,1.199975
FILLER_81_7,VDD,Metal1,10.8090,321.8980,1.199974
FILLER_81_0,VDD,Metal1,7.4490,321.8980,1.199972
FILLER_80_591,VDD,Metal1,290.4110,320.7030,1.191910
FILLER_80_584,VDD,Metal1,287.7690,320.7010,1.191910
FILLER_80_577,VDD,Metal1,284.4090,320.7010,1.191923
FILLER_80_570,VDD,Metal1,281.0490,320.7010,1.191937
FILLER_80_563,VDD,Metal1,277.6890,320.7010,1.191950
FILLER_80_556,VDD,Metal1,274.3290,320.7010,1.191964
FILLER_80_543,VDD,Metal1,266.6400,321.3000,1.197750
FILLER_80_507,VDD,Metal1,249.6000,321.3000,1.198587
FILLER_80_502,VDD,Metal1,246.9600,321.3000,1.199313
FILLER_80_493,VDD,Metal1,242.6400,321.3000,1.199744
FILLER_80_476,VDD,Metal1,234.7200,321.3000,1.199652
FILLER_80_451,VDD,Metal1,222.7200,321.3000,1.199274
FILLER_80_423,VDD,Metal1,209.0400,321.3000,1.199239
FILLER_80_408,VDD,Metal1,201.8400,321.3000,1.199322
FILLER_80_355,VDD,Metal1,176.4000,321.3000,1.199699
FILLER_80_309,VDD,Metal1,154.5600,321.3000,1.199657
FILLER_80_294,VDD,Metal1,147.3600,321.3000,1.199585
FILLER_80_279,VDD,Metal1,140.1600,321.3000,1.199541
FILLER_80_217,VDD,Metal1,110.4000,321.3000,1.199683
FILLER_80_181,VDD,Metal1,92.8800,321.3000,1.199861
FILLER_80_174,VDD,Metal1,90.9690,320.7010,1.199848
FILLER_80_145,VDD,Metal1,75.8400,321.3000,1.199818
FILLER_80_135,VDD,Metal1,70.8000,321.3000,1.199801
FILLER_80_123,VDD,Metal1,65.2800,321.3000,1.199795
FILLER_80_112,VDD,Metal1,60.0000,321.3000,1.199800
FILLER_80_105,VDD,Metal1,57.8490,320.7010,1.199800
FILLER_80_101,VDD,Metal1,54.4800,321.3000,1.199810
FILLER_80_97,VDD,Metal1,53.2910,320.7030,1.199895
FILLER_80_86,VDD,Metal1,47.5200,321.3000,1.199902
FILLER_80_82,VDD,Metal1,46.0910,320.7030,1.199903
FILLER_80_68,VDD,Metal1,39.3710,320.7030,1.199928
FILLER_80_61,VDD,Metal1,36.7290,320.7010,1.199930
FILLER_80_54,VDD,Metal1,33.3690,320.7010,1.199936
FILLER_80_47,VDD,Metal1,30.0090,320.7010,1.199943
FILLER_80_40,VDD,Metal1,26.6490,320.7010,1.199949
FILLER_80_33,VDD,Metal1,23.2890,320.7010,1.199955
FILLER_80_18,VDD,Metal1,16.0890,320.7010,1.199977
FILLER_80_11,VDD,Metal1,12.7290,320.7010,1.199975
FILLER_80_4,VDD,Metal1,9.3690,320.7010,1.199974
FILLER_79_641,VDD,Metal1,313.9200,313.7400,1.199025
FILLER_79_634,VDD,Metal1,311.7690,314.3380,1.199110
FILLER_79_621,VDD,Metal1,304.0800,313.7400,1.199129
FILLER_79_619,VDD,Metal1,303.3600,313.7400,1.199129
FILLER_79_612,VDD,Metal1,301.2090,314.3380,1.199133
FILLER_79_605,VDD,Metal1,297.8490,314.3380,1.199142
FILLER_79_598,VDD,Metal1,294.4890,314.3380,1.199152
FILLER_79_567,VDD,Metal1,278.1600,313.7400,1.199357
FILLER_79_560,VDD,Metal1,276.2490,314.3380,1.199357
FILLER_79_532,VDD,Metal1,261.3600,313.7400,1.199438
FILLER_79_523,VDD,Metal1,257.0400,313.7400,1.199703
FILLER_79_515,VDD,Metal1,253.2000,313.7400,1.199850
FILLER_79_513,VDD,Metal1,252.4800,313.7400,1.199862
FILLER_79_506,VDD,Metal1,250.3290,314.3380,1.199870
FILLER_79_499,VDD,Metal1,246.9690,314.3380,1.199846
FILLER_79_463,VDD,Metal1,228.2400,313.7400,1.199077
FILLER_79_456,VDD,Metal1,226.3290,314.3380,1.199069
FILLER_79_449,VDD,Metal1,222.9690,314.3380,1.199057
FILLER_79_431,VDD,Metal1,212.8800,313.7400,1.198992
FILLER_79_423,VDD,Metal1,209.0400,313.7400,1.198979
FILLER_79_421,VDD,Metal1,208.3200,313.7400,1.198979
FILLER_79_412,VDD,Metal1,203.7600,313.7400,1.198979
FILLER_79_372,VDD,Metal1,184.8000,313.7400,1.199049
FILLER_79_361,VDD,Metal1,179.5200,313.7400,1.199209
FILLER_79_346,VDD,Metal1,172.3200,313.7400,1.199595
FILLER_79_342,VDD,Metal1,170.8910,314.3360,1.199931
FILLER_79_325,VDD,Metal1,162.0000,313.7400,1.199702
FILLER_79_316,VDD,Metal1,157.6800,313.7400,1.199235
FILLER_79_290,VDD,Metal1,145.4400,313.7400,1.199101
FILLER_79_258,VDD,Metal1,129.8400,313.7400,1.199252
FILLER_79_248,VDD,Metal1,125.2800,313.7400,1.199532
FILLER_79_237,VDD,Metal1,120.0000,313.7400,1.199538
FILLER_79_215,VDD,Metal1,109.4400,313.7400,1.199679
FILLER_79_211,VDD,Metal1,108.0110,314.3360,1.199737
FILLER_79_172,VDD,Metal1,88.8000,313.7400,1.199341
FILLER_79_143,VDD,Metal1,74.8800,313.7400,1.199292
FILLER_79_112,VDD,Metal1,59.7600,313.7400,1.199279
FILLER_79_108,VDD,Metal1,58.5710,314.3360,1.199279
FILLER_79_63,VDD,Metal1,36.4800,313.7400,1.199428
FILLER_79_59,VDD,Metal1,35.0510,314.3360,1.199428
FILLER_79_18,VDD,Metal1,14.8800,313.7400,1.199901
FILLER_79_14,VDD,Metal1,13.4510,314.3360,1.199900
FILLER_79_7,VDD,Metal1,10.8090,314.3380,1.199900
FILLER_79_0,VDD,Metal1,7.4490,314.3380,1.199900
FILLER_78_650,VDD,Metal1,318.2400,313.7400,1.199025
FILLER_78_646,VDD,Metal1,316.8110,313.1430,1.199025
FILLER_78_614,VDD,Metal1,300.9600,313.7400,1.199133
FILLER_78_607,VDD,Metal1,298.8090,313.1410,1.199136
FILLER_78_600,VDD,Metal1,295.4490,313.1410,1.199146
FILLER_78_593,VDD,Metal1,290.8800,313.7400,1.199344
FILLER_78_580,VDD,Metal1,285.1310,313.1430,1.199344
FILLER_78_573,VDD,Metal1,282.4890,313.1410,1.199344
FILLER_78_544,VDD,Metal1,267.3600,313.7400,1.199357
FILLER_78_540,VDD,Metal1,265.9310,313.1430,1.199357
FILLER_78_536,VDD,Metal1,263.2800,313.7400,1.199426
FILLER_78_526,VDD,Metal1,258.4800,313.7400,1.199582
FILLER_78_524,VDD,Metal1,257.7600,313.7400,1.199703
FILLER_78_500,VDD,Metal1,247.4490,313.1410,1.199870
FILLER_78_493,VDD,Metal1,244.0890,313.1410,1.199846
FILLER_78_469,VDD,Metal1,231.3600,313.7400,1.199079
FILLER_78_465,VDD,Metal1,229.9310,313.1430,1.199080
FILLER_78_458,VDD,Metal1,227.2890,313.1410,1.199078
FILLER_78_451,VDD,Metal1,223.9290,313.1410,1.199065
FILLER_78_444,VDD,Metal1,219.1200,313.7400,1.199036
FILLER_78_440,VDD,Metal1,217.9310,313.1430,1.199024
FILLER_78_433,VDD,Metal1,215.2890,313.1410,1.199016
FILLER_78_415,VDD,Metal1,205.9310,313.1430,1.198979
FILLER_78_348,VDD,Metal1,173.0400,313.7400,1.199595
FILLER_78_346,VDD,Metal1,172.3200,313.7400,1.199595
FILLER_78_334,VDD,Metal1,167.0510,313.1430,1.199786
FILLER_78_323,VDD,Metal1,161.2800,313.7400,1.199702
FILLER_78_319,VDD,Metal1,159.8510,313.1430,1.199530
FILLER_78_312,VDD,Metal1,157.2090,313.1410,1.199235
FILLER_78_281,VDD,Metal1,140.8800,313.7400,1.199100
FILLER_78_277,VDD,Metal1,139.6910,313.1430,1.199101
FILLER_78_270,VDD,Metal1,137.0490,313.1410,1.199101
FILLER_78_249,VDD,Metal1,125.5200,313.7400,1.199532
FILLER_78_247,VDD,Metal1,124.8000,313.7400,1.199532
FILLER_78_215,VDD,Metal1,109.4400,313.7400,1.199679
FILLER_78_204,VDD,Metal1,104.1600,313.7400,1.199740
FILLER_78_200,VDD,Metal1,102.7310,313.1430,1.199740
FILLER_78_189,VDD,Metal1,96.7200,313.7400,1.199845
FILLER_78_185,VDD,Metal1,94.8000,313.7400,1.199906
FILLER_78_178,VDD,Metal1,92.8890,313.1410,1.199349
FILLER_78_171,VDD,Metal1,89.5290,313.1410,1.199341
FILLER_78_161,VDD,Metal1,83.2800,313.7400,1.199307
FILLER_78_154,VDD,Metal1,81.3690,313.1410,1.199307
FILLER_78_140,VDD,Metal1,73.9310,313.1430,1.199279
FILLER_78_133,VDD,Metal1,71.2890,313.1410,1.199278
FILLER_78_126,VDD,Metal1,67.9290,313.1410,1.199278
FILLER_78_98,VDD,Metal1,53.0400,313.7400,1.199330
FILLER_78_96,VDD,Metal1,52.3200,313.7400,1.199330
FILLER_78_68,VDD,Metal1,38.6400,313.7400,1.199423
FILLER_78_66,VDD,Metal1,37.9200,313.7400,1.199423
FILLER_78_59,VDD,Metal1,35.7690,313.1410,1.199428
FILLER_78_52,VDD,Metal1,32.4090,313.1410,1.199869
FILLER_78_45,VDD,Metal1,29.0490,313.1410,1.199896
FILLER_78_38,VDD,Metal1,25.6890,313.1410,1.199898
FILLER_78_33,VDD,Metal1,21.8400,313.7400,1.199898
FILLER_78_31,VDD,Metal1,21.1200,313.7400,1.199898
FILLER_78_25,VDD,Metal1,18.0000,313.7400,1.199902
FILLER_78_18,VDD,Metal1,16.0890,313.1410,1.199901
FILLER_78_7,VDD,Metal1,10.8090,313.1410,1.199900
FILLER_78_0,VDD,Metal1,7.4490,313.1410,1.199900
FILLER_77_651,VDD,Metal1,318.4800,306.1800,1.199078
FILLER_77_647,VDD,Metal1,317.2910,306.7760,1.199078
FILLER_77_640,VDD,Metal1,314.6490,306.7780,1.199078
FILLER_77_631,VDD,Metal1,309.6110,306.7760,1.199141
FILLER_77_624,VDD,Metal1,306.9690,306.7780,1.199145
FILLER_77_618,VDD,Metal1,302.6400,306.1800,1.199157
FILLER_77_593,VDD,Metal1,291.3710,306.7760,1.199241
FILLER_77_586,VDD,Metal1,288.7290,306.7780,1.199244
FILLER_77_579,VDD,Metal1,285.3690,306.7780,1.199257
FILLER_77_572,VDD,Metal1,282.0090,306.7780,1.199309
FILLER_77_562,VDD,Metal1,275.7600,306.1800,1.199489
FILLER_77_558,VDD,Metal1,274.5710,306.7760,1.199489
