2026-06-05 19:07:27 +0100: Memory Usage (423424K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/57-magic-streamout/CPU_TOP.gds
2026-06-05 19:07:27 +0100: Memory Usage (423424K) : Ruby Version for klayout: 3.3.10
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : Loading database to memory is complete.
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : IHP-SG13G2 KLayout DRC runset output at: /home/user/cpu_project/runs/RUN_2026-06-05_18-53-50/65-klayout-drc/reports/drc.klayout.lyrdb
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : Evaluate switches.
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : tables selected: main
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : KLayout will use 2 thread(s) in tiling mode.
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : deep mode is enabled.
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : FEOL enabled: true
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : BEOL enabled: true
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : OFFGRID enabled: true
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : PIN enabled: true
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : FORBIDDEN enabled: true
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : RECOMMENDED enabled: false
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : PreCheck DRC enabled: false
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : CONNECTIVITY_RULES enabled: true.
2026-06-05 19:07:27 +0100: Memory Usage (429804K) : Read in polygons from layers.
2026-06-05 19:07:27 +0100: Memory Usage (431564K) : activ_drw has 39854 polygons
2026-06-05 19:07:27 +0100: Memory Usage (431948K) : activ_pin has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (431948K) : activ_mask has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (431948K) : activ_filler has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (431948K) : activ_nofill has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (431948K) : activ_opc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (432076K) : activ_iopc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (432076K) : activ_noqrc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (432204K) : biwind_drw has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (432204K) : biwind_opc has 0 polygons
2026-06-05 19:07:27 +0100: Memory Usage (432332K) : pemwind_drw has 0 polygons
